member_id,subscription_start,subscription_end,item_id,mode_score,mode_zscore,top_score,median,skew,std,var,kurtosis,model_loops,model_run,member_period,top_zscore,avg_score,std_score,median_score
hemingway-ernest,1924-03-28,1925-03-28,ellis-evolution-modesty-phenomena,-0.3183607679902906,-1.879019829512434,0.45336405918921197,0.008688353955372707,0.16490383302902809,0.18010733114942476,0.03243865073376855,-0.5386433246576297,100,27,hemingway-ernest: 1924-03-28/1925-03-28,2.405785360006735,0.020064478680040968,0.18010733114942476,0.008688353955372707
hemingway-ernest,1924-03-28,1925-03-28,ellis-impressions-comments,-0.293555997803894,-2.463281510591815,0.5123814818678258,0.1037505829454779,0.11692888907058203,0.16124496652180947,0.025999939228619456,0.16485455649925473,100,74,hemingway-ernest: 1924-03-28/1925-03-28,2.5349364000597507,0.10363574690527529,0.16124496652180947,0.1037505829454779
hemingway-ernest,1924-03-28,1925-03-28,ellis-kanga-creek-australian,-0.1089414160413808,-2.360934352500987,0.35078912705119025,0.11371012417427834,0.09098771203056713,0.09304708633601723,0.008657760275622244,0.08202825716741557,100,86,hemingway-ernest: 1924-03-28/1925-03-28,2.5799032512941977,0.11073664648944752,0.09304708633601723,0.11371012417427834
hemingway-ernest,1924-03-28,1925-03-28,ellis-little-essays-love,-0.08224235321239838,-1.9825218237618927,0.13938818387459445,0.014471517102237999,0.0679312758256817,0.05150507932346857,0.0026527731961167892,-0.7971612902600653,100,65,hemingway-ernest: 1924-03-28/1925-03-28,2.320559348001408,0.019867590580965457,0.05150507932346857,0.014471517102237999
hemingway-ernest,1924-03-28,1925-03-28,ellis-man-woman-study,-0.06814197132043623,-2.3072070575196593,0.2861288033819359,0.08931743889451621,-0.06133867134384347,0.07113135441253791,0.005059669580562077,-0.1255281599867053,100,86,hemingway-ernest: 1924-03-28/1925-03-28,2.6733079014353023,0.09597279159110345,0.07113135441253791,0.08931743889451621
hemingway-ernest,1924-03-28,1925-03-28,ellis-new-spirit,-0.30434045630917733,-2.3413529623380946,0.37651808008647947,-0.0033056247700151307,0.13144776100714534,0.13320252845094155,0.017742913585723892,0.39096533838746383,100,83,hemingway-ernest: 1924-03-28/1925-03-28,2.770100583728915,0.007533678270358922,0.13320252845094155,-0.0033056247700151307
hemingway-ernest,1924-03-28,1925-03-28,ellis-studies-psychology-sex,-0.281565966870576,-2.1803646601562154,0.43911956945182956,0.012994197231580955,0.3670224496993355,0.14035386016582344,0.019699206063447522,0.03858401766063979,100,10,hemingway-ernest: 1924-03-28/1925-03-28,2.95441065326188,0.02445662975149261,0.14035386016582344,0.012994197231580955
hemingway-ernest,1924-03-28,1925-03-28,ellis-task-social-hygiene,-0.44174912775788583,-2.50637681865118,0.4623460142558024,-0.02871472694841528,0.08094241341107176,0.16837143538633564,0.028348940254055,0.43655145077214597,100,26,hemingway-ernest: 1924-03-28/1925-03-28,2.863269997860197,-0.01974686518254913,0.16837143538633564,-0.02871472694841528
hemingway-ernest,1924-03-28,1925-03-28,elton-schoolboys-exiles,-0.20256629651852867,-2.23441763507703,0.35560798740561644,0.009929092798494615,0.4433043002443025,0.0982803735545718,0.009659031826026176,0.8304128286113834,100,99,hemingway-ernest: 1924-03-28/1925-03-28,3.44498979629796,0.01703310333376472,0.0982803735545718,0.009929092798494615
hemingway-ernest,1924-03-28,1925-03-28,emerson-essays,-0.5174718736963307,-2.578707288104445,0.3706822075982078,-0.11651010983611669,0.06208802167067861,0.15626694619805548,0.02441935847406597,0.3368686476200269,100,15,hemingway-ernest: 1924-03-28/1925-03-28,3.104862416834159,-0.11450516064558,0.15626694619805548,-0.11651010983611669
