author,title,pub_date,item_uri,acq_date
"Irwin, Margaret",Madame Fears the Dark: Seven Stories and a Play,1935,https://shakespeareandco.princeton.edu/books/irwin-madame-fears-dark/,1935-08
"Mackail, Denis",The Wedding,1935,https://shakespeareandco.princeton.edu/books/mackail-wedding/,1935-08
"Buchan, John ",The House of the Four WInds,1935,https://shakespeareandco.princeton.edu/books/buchan-house-four-winds/,1935-08
"Myers, L. H. ",The Root and the Flower,1935,https://shakespeareandco.princeton.edu/books/myers-root-flower/,1935-09
"Beeding, Francis (pseudonym) John Leslie Palmer and Hillary St. George Saunders",The Norwich Vicitims,1931,https://shakespeareandco.princeton.edu/books/palmer-norwich-victims/,1935-09
"Frome, David (pseudonym) Zenith Jones Brown",The Body IN Bedford Square,1935,https://shakespeareandco.princeton.edu/books/brown-body-bedford-square/,1935-10
"Clement, Frank A.",Picture Him Dead! Portrait of a Gentlemen Who Was Murdered,1935,https://shakespeareandco.princeton.edu/books/clement-picture-dead-portrait/,1935-10
"Summers, Montague",Playhouse of Pepys,1935,,1935-10
"Powys, John Cowper",Jobber Skald,1935,https://shakespeareandco.princeton.edu/books/powys-jobber-skald/,1935-10
"Garnett, David",Beany-Eye,1935,https://shakespeareandco.princeton.edu/books/garnett-beany-eye/,1935-10
"Macdonnell, A. G.",A Visit to America,1935,https://shakespeareandco.princeton.edu/books/macdonell-visit-america/,1935-10
"Huxley, Juilian and A. C. Haddon and A. M. Carr-Saunders",We Europeans: A Survey of Racial Problems,1935,https://shakespeareandco.princeton.edu/books/huxley-europeans-survey-racial/,1935-10
"Thompson, Sylvia",A Silver Rattle,1935,https://shakespeareandco.princeton.edu/books/thompson-silver-rattle/,1935-10
,The Best Short Stories of 1935: And the Yearbook of the American Short Story,1935,https://shakespeareandco.princeton.edu/books/obrien-best-short-stories-1935/,1935-10
"Russell, Bertrand",In Praise of Idleness and Other Essays,1935,https://shakespeareandco.princeton.edu/books/russell-praise-idleness-essays/,1935-10
"Bagnold, Enid",National Velvet,1935,https://shakespeareandco.princeton.edu/books/bagnold-national-velvet/,1935-10
"Baring, Maurice",Darby and Joan,1935,https://shakespeareandco.princeton.edu/books/baring-darby-joan/,1935-10
"Fallas, Carl",The Wooden Pillow,1936,https://shakespeareandco.princeton.edu/books/fallas-wooden-pillow/,1935-10
"Walpole, Hugh",The Inquisitor,1935,https://shakespeareandco.princeton.edu/books/walpole-inquisitor/,1935-10
"Boas, Guy",Short Modern Plays,1935,https://shakespeareandco.princeton.edu/books/boas-short-modern-plays/,1935-10
"Porter, Katherine Anne",Flowering Judas and Other Stories,1930,https://shakespeareandco.princeton.edu/books/porter-flowering-judas-stories/,1935-10
"Lewis, Sinclair",It Can't Happen Here,1935,https://shakespeareandco.princeton.edu/books/lewis-cant-happen/,1935-10
"Mirsky, D. S.",TheIntelligentsia of Great Brittain,1935,https://shakespeareandco.princeton.edu/books/mirskij-intelligentsia-great-britain/,1935-10
"Henderson, Alexander",Aldous Huxley,1935,https://shakespeareandco.princeton.edu/books/henderson-aldous-huxley/,1935-10
"Struve, Gleb",Soviet Russian Literature,1935,https://shakespeareandco.princeton.edu/books/struve-soviet-russian-literature/,1935-10
"Romilly, Giles and Esmond Romilly",Out of Bounds: The Education of Giles Romilly and Esmond Romilly,1935,https://shakespeareandco.princeton.edu/books/romilly-bounds-education-giles/,1935-10
"Strachey, John",The Nature of Capitalist Crisis,1935,https://shakespeareandco.princeton.edu/books/wolfe-nature-capitalist-crisis/,1935-10
"Plomer, William",The Case is Altered,1932,https://shakespeareandco.princeton.edu/books/plomer-case-altered/,1935-10
"Richardson, Dorothy M.",Clear Horizon (Pilgrimage 11),1935,https://shakespeareandco.princeton.edu/books/richardson-clear-horizon-pilgrimage/,1935-11
"Van Dine, S. S. (pseudonym) William Hunington Wright",The Garden Murder Case,1935,https://shakespeareandco.princeton.edu/books/van-dine-garden-murder-case/,1935-11
"Callaghan, Morley",They Shall Inherit the Earth,1935,https://shakespeareandco.princeton.edu/books/callaghan-shall-inherit-earth/,1935-11
"Forsythe, Robert",Redder Than the Rose,1935,https://shakespeareandco.princeton.edu/books/forsythe-redder-rose/,1935-11
