date,documented_total,gap_days,forecast,forecast_upper,forecast_lower,forecast_range
1937-03-21,0,7,3.531929305253837,6.540043470095373,0.30892415999950606,6.231119310095867
1937-03-28,0,7,2.8636559417485694,5.982663788129595,-0.2734444053135817,6.256108193443176
1937-04-04,0,7,2.5119950130210427,5.845983117560479,-0.751063033087058,6.597046150647537
1937-04-11,0,7,2.5874334340773535,5.70960885531604,-0.2643288760174266,5.973937731333466
1937-04-18,0,7,2.8828518741344595,5.783971818456715,-0.29734410270052936,6.081315921157245
1937-04-25,0,7,3.204083800352418,6.650281177673343,0.07645249900494147,6.573828678668402
1937-05-02,0,7,3.4598679986842535,6.437038809309013,0.105849838908374,6.331188970400639
1937-05-09,0,7,3.516509939532348,6.411742663839035,0.36329980154802805,6.048442862291006
1937-05-16,0,7,3.1863681908508132,6.333455298233358,0.22073017855562352,6.112725119677735
1937-05-23,0,7,2.4702705468142483,5.639388438317439,-0.5294503692029672,6.168838807520406
1937-05-30,0,7,1.7149547593820973,4.984306570571444,-1.258772079308332,6.243078649879776
1937-06-06,0,7,1.3756763650186494,4.452673409635792,-1.6401343081450799,6.092807717780872
1937-06-13,0,7,1.5913504720075693,4.703069514822578,-1.6233196839213009,6.326389198743879
1937-06-20,0,7,2.074187740844554,5.473156969460313,-1.061504263040028,6.5346612325003415
1937-06-27,0,7,2.4486929620102185,5.64174236850713,-0.5949213675752241,6.236663736082354
1937-07-04,0,7,2.609820507401521,5.559722805735954,-0.6646108065096611,6.224333612245616
1937-07-11,0,7,2.669244085973137,5.764549903410002,-0.21902979918182058,5.983579702591822
1937-07-18,0,7,2.637442872329969,5.490177748940359,-0.4558767905359217,5.946054539476281
1937-07-25,0,7,2.358319398071295,5.713686251766391,-0.8287771745071985,6.5424634262735895
1937-08-01,0,7,1.8368505117380254,4.898744767474978,-1.4773741608945699,6.376118928369547
1937-08-08,0,7,1.4685872485477116,4.67372386974911,-1.6303225685435792,6.304046438292689
1937-08-15,0,7,1.7020728102433766,4.807181023532194,-1.5886475475698718,6.395828571102066
1937-08-22,0,7,2.4216774498966585,5.331974484089227,-0.6585227864193781,5.990497270508605
1937-08-29,0,7,2.861935719988069,5.828721114615909,-0.1512324396805037,5.979953554296412
1937-09-05,0,7,2.354670986874476,5.287126838920443,-0.7980444890110675,6.08517132793151
1937-09-12,0,7,1.165005380714006,4.268755658591851,-2.0588064585154564,6.327562117107307
1937-09-19,0,7,0.39642715387052885,3.800178314027753,-2.648766486735707,6.44894480076346
1937-09-26,0,7,0.9219418613354833,4.020866614078626,-2.1991887309658735,6.2200553450445
1937-10-03,0,7,2.461155068670897,5.419155271386586,-0.47216140728998995,5.891316678676576
1937-10-10,0,7,3.8551850839002677,6.95893452763819,0.5768301898338591,6.382104337804331
1937-10-17,0,7,4.2737152090647434,7.2302868650671686,1.0056327862751684,6.224654078792
1937-10-24,0,7,4.020927485150175,6.974989978884333,0.8669451233557101,6.108044855528623
1937-10-31,0,7,4.056913239206777,7.4597333483321755,0.9115246806739024,6.548208667658273
1937-11-07,0,7,4.815874047696187,7.860361231221393,1.4293005115958584,6.431060719625535
1937-11-14,0,7,5.678436494326984,8.685147314689267,2.586929172465195,6.098218142224072
1937-11-21,0,7,5.659754662910556,8.662572481417506,2.624216946344219,6.038355535073286
1937-11-28,0,7,4.480276667503594,7.184589003129161,1.5135416322227855,5.671047370906376
1937-12-05,0,7,2.8251719862048335,5.900009968278274,-0.3443995812998666,6.24440954957814
1937-12-12,0,7,1.6147913287222142,4.887332951939792,-1.5416389964415143,6.428971948381306
1937-12-19,0,7,1.215605614851662,4.3320685790167035,-1.8522652275115978,6.184333806528302
1937-12-26,0,7,1.4262766082665,4.680820782329727,-1.4800960095326525,6.1609167918623795
1938-01-02,0,7,2.022617521464327,5.262557494644473,-1.1025118485376606,6.3650693431821335
1938-01-09,0,7,3.014947048207704,6.589891668365701,0.27115060349980596,6.318741064865895
1938-01-16,0,7,4.302627873040673,7.243773167461372,1.0060904209420556,6.237682746519316
1938-01-23,0,7,5.325456664985367,8.360390501771894,2.2416872554842358,6.118703246287659
1938-01-30,0,7,5.3737532980299,8.349429483218548,2.4794181837139653,5.870011299504583
1938-02-06,0,7,4.334936872809814,7.377525319142703,1.2205885165426416,6.156936802600061
1938-05-08,1,7,1.7470089624426675,4.914524785849354,-1.2390832046546159,6.15360799050397
1938-05-15,0,7,1.743872580935066,4.861393784697199,-1.3408163085500238,6.202210093247223
1938-05-22,0,7,1.3315367848743727,4.341135957396455,-1.8414922406265377,6.182628198022993
1938-05-29,0,7,0.6601457929981807,3.8413252059539693,-2.5231228809770347,6.364448086931004
1938-06-05,0,7,0.20889345916681243,3.1481636672073474,-3.1634944785848425,6.31165814579219
1938-06-12,0,7,0.295243486815967,3.304210673354631,-2.875433688000601,6.179644361355232
1938-06-19,0,7,0.7531488337371337,3.9381381457561484,-2.324999245751698,6.263137391507847
1938-06-26,0,7,1.1595888327521735,4.42614908283409,-1.8412567907188921,6.267405873552983
1938-07-03,0,7,1.2995357016766405,4.276811736213379,-1.6452862618638355,5.922097998077215
1938-07-10,0,7,1.2889459981501896,4.387104244469619,-1.6636706095985414,6.05077485406816
1938-07-17,0,7,1.2670012806380455,4.5804982733075565,-1.9702799361208116,6.550778209428368
1938-07-24,0,7,1.1504834076765673,4.030804008243429,-2.107939667359942,6.13874367560337
1938-07-31,0,7,0.8230952296003191,3.7807915800540193,-2.5428800427566567,6.323671622810676
1938-08-07,0,7,0.4717278601115579,3.5213403504687193,-2.6082310944273166,6.129571444896036
1938-08-14,0,7,0.5028122441140985,3.452926745712377,-2.6899615791344877,6.142888324846865
1938-08-21,0,7,1.0187532404679298,4.272114959056802,-2.244540159000995,6.5166551180577965
1938-08-28,0,7,1.5179989654727588,4.713832995985583,-1.7057375994341757,6.419570595419758
1938-09-04,0,7,1.3367912463296376,4.377669956834572,-1.833910135143001,6.211580091977573
1938-09-11,0,7,0.4406001701267508,3.5074518785195568,-2.624893231579788,6.132345110099345
1938-09-18,0,7,-0.3792567068183293,2.755156387427113,-3.260866623329092,6.016023010756205
1938-09-25,0,7,-0.25400562501322993,2.8753624903432224,-3.525050429081167,6.400412919424389
1938-10-02,0,7,0.8392640444256245,3.7411311354236507,-2.207669461974974,5.948800597398625
1938-10-09,0,7,2.0362434940999132,5.104934943853048,-1.0178189987749104,6.122753942627959
1938-10-16,0,4,2.5115636516896043,5.729717566346633,-0.7488368040328818,6.4785543703795145
